agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|4b|24809|ESC. BASICA PART.JUANITA FERNANDEZ SOLAR|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13124|PUDAHUEL|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|75.06008861201174|80.07253221327969|73.26469090920965|82.66396198181845
2017|4b|24812|COLEGIO POLIV. SAN JOSE DE RENCA|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13128|RENCA|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|73.36017934666022|74.79363271683997|67.40377107819489|76.26654177244807
2017|4b|24817|ESCUELA BASICA N°1517 MADRIGAL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13113|LA REINA|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|79.54104165059373|81.73867374277154|82.11053769230178|81.74739862573942
2017|4b|24822|ESC. BAS. PDTE. SALVADOR ALLENDE G.|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13105|EL BOSQUE|SANTIAGO SUR|Municipal|Bajo|Urbano|74.84911793216871|66.65131508757828|70.36279983596188|79.34471331440099
2017|4b|24826|COLEGIO NUESTRA SENORA DEL LORETO|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13114|LAS CONDES|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|71.51182495575608|74.7516659701836|72.72314064336905|74.91537660501452
2017|4b|24836|COLEGIO SAN ISIDRO|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|SANTIAGO SUR|Particular pagado|Alto|Urbano|72.11775094423636|77.47656172346466|73.69023313212189|79.14325248968312
2017|4b|24842|COLEGIO LA FONTAINE|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13120|ÑUÑOA|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|70.29522886702246||66.52085226334013|73.54256225486702
2017|4b|24843|COLEGIO POLIV. SAN LUIS BELTRAN|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13124|PUDAHUEL|SANTIAGO PONIENTE|Particular subvencionado|Medio bajo|Urbano|71.87078860291335|72.26916282106393|69.64366028800876|81.53780976267163
2017|4b|24854|ESCUELA ANEXO BASICA PART.VILLA LOURDES|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13117|LO PRADO|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|70.74056255391082|75.98878718260419|71.15581809337992|73.34911192196724
2017|4b|24856|ESCUELA BASICA TEGUALDA|13|REGION METROPOLITANA DE SANTIAGO|6|TALAGANTE|13601|TALAGANTE|TALAGANTE|Municipal|Bajo|Urbano|80.95823750652015|78.59799436232484|75.92719454927818|87.08722788934639
2017|4b|24864|COLEGIO SAN CRISTOBAL DE LAS CASAS|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular subvencionado|Medio|Urbano|75.50879949595799|66.28525501173124|64.18837436700729|70.76856830057261
