"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
481;4;2023;AM;71;ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;1;20240528;final20240528v1
481;4;2023;CC;69;ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;1;20240528;final20240528v1
481;4;2023;HV;68;ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;1;20240528;final20240528v1
481;4;2023;PF;71;ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;1;20240528;final20240528v1
482;4;2023;AM;77;ESCUELA FORTUNATO SOZA RODRÍGUEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;1;2;20240528;final20240528v1
482;4;2023;CC;84;ESCUELA FORTUNATO SOZA RODRÍGUEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;1;2;20240528;final20240528v1
482;4;2023;HV;74;ESCUELA FORTUNATO SOZA RODRÍGUEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;1;2;20240528;final20240528v1
482;4;2023;PF;87;ESCUELA FORTUNATO SOZA RODRÍGUEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;1;2;20240528;final20240528v1
483;4;2023;AM;75;ESCUELA SAMUEL E. CASTILLO LOPEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;2;20240528;final20240528v1
483;4;2023;CC;90;ESCUELA SAMUEL E. CASTILLO LOPEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;2;20240528;final20240528v1
483;4;2023;HV;70;ESCUELA SAMUEL E. CASTILLO LOPEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;2;20240528;final20240528v1
483;4;2023;PF;89;ESCUELA SAMUEL E. CASTILLO LOPEZ;3;DE ATACAMA;33;HUASCO;3303;FREIRINA;Huasco - Vallenar;4;3;2;20240528;final20240528v1
