agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_nat6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_nat6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_nat6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_nat6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_nat6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_nat6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_nat6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_nat6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|6b|10133|8|ESCUELA BASICA G-N°320 LIPANGUE|13|Región Metropolitana de Sant|133|CHACA|13302|Lampa|137|NORTE|1|1|1|2|5|6|5|211|199|196|0|-17|0|0|-27|0|0|0|0|0|-1|0||||1||1|||||||0|20190628|final20190628v1
2018|6b|10134|6|ESC.COMODORO ARTURO MERINO BENITEZ|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|2|18|17|18|268|267|264|5|-7|9|30|31|27|0|0|0|1|1|1|2|2|2||||16.7|38.9|44.4|11.8|52.9|35.3|0|20190628|final20190628v1
2018|6b|10135|4|ESCUELA LO BOZA|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|2|22|25|22|222|214|223|-4|-13|5|-16|-22|-14|0|0|0|-1|-1|-1|||||||54.5|31.8|13.6|68|32|0|0|20190628|final20190628v1
2018|6b|10140|0|ESCUELA PARTICULAR FRINGS COLLEGE|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|3|2|3|1|26|30|26|268|280|279|29|33|19|16|27|25|1|1|0|1|1|1|||||||19.2|34.6|46.2|10|40|50|0|20190628|final20190628v1
2018|6b|10142|7|ESCUELA BASICA PARTICULAR N°811 DRA.VIC|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|3|2|3|1|25|25|26|230|227|252|-5|-8|13|-22|-26|-2|0|0|0|-1|-1|0|||||||52|36|12|56|40|4|0|20190628|final20190628v1
2018|6b|10143|5|ESCUELA PARTICULAR ESPANA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|3|2|2|1|24|24|24|247|237|247|-1|23|13|9|1|10|0|1|0|1|0|0|||||||45.8|20.8|33.3|37.5|50|12.5|0|20190628|final20190628v1
2018|6b|10147|8|ESCUELA PARTICULAR BABILONIA|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|3|2|3|1|35|39|34|272|271|265|4|8|19|20|18|11|0|0|1|1|1|1|||||||17.1|42.9|40|2.6|59|38.5|0|20190628|final20190628v1
2018|6b|10149|4|ESCUELA PARTICULAR RAPA NUI|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|3|2|2|1|40|40|40|237|246|232|-3|-1|-19|-1|10|-5|0|0|-1|0|1|0|||||||50|32.5|17.5|27.5|60|12.5|0|20190628|final20190628v1
2018|6b|10151|6|COLEGIO CRISTIAN AND CAREN SCHOOL|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|3|2|2|1|97|94|97|268|285|267|-6|5|1|30|49|30|0|0|0|1|1|1|||||||21.6|33|45.4|9.6|39.4|51.1|0|20190628|final20190628v1
2018|6b|10152|4|ESCUELA PARTICULAR ANDANTINO|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|3|2|3|1|40|40|40|249|243|248|10|22|17|-3|-10|-6|0|1|1|0|-1|0|||||||37.5|30|32.5|35|52.5|12.5|0|20190628|final20190628v1
2018|6b|10155|9|ESCUELA CHARLES SCHOOL-DIURNA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|3|2|3|1|39|38|39|226|217|231|9|15|7|-26|-36|-23|0|0|0|-1|-1|-1|||||||53.8|28.2|17.9|71.1|23.7|5.3|0|20190628|final20190628v1
