rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
56,2025,4b,266.0,298.0,Medio alto,Urbano,Particular subvencionado,74.0,76.0,80.0,74.0
59,2016,4b,301.0,306.0,Alto,Urbano,Particular pagado,77.0,77.0,75.0,83.0
59,2017,4b,296.0,298.0,Alto,Urbano,Particular pagado,75.79615492939249,73.98285526106986,76.97270184401943,79.11735995419366
59,2022,4b,292.0,297.0,Alto,Urbano,Particular pagado,81.0,80.0,79.0,90.0
59,2023,4b,284.0,292.0,Alto,Urbano,Particular pagado,72.0,69.0,67.0,76.0
59,2024,4b,292.0,281.0,Alto,Urbano,Particular pagado,74.0,75.0,72.0,81.0
59,2025,4b,270.0,283.0,Alto,Urbano,Particular pagado,76.0,80.0,83.0,70.0
60,2016,4b,276.0,292.0,Medio alto,Urbano,Particular subvencionado,74.0,74.0,69.0,74.0
60,2017,4b,287.0,303.0,Medio alto,Urbano,Particular subvencionado,72.6288865741501,76.31820573035479,73.07951010695693,77.43587598909677
60,2022,4b,253.0,283.0,Medio alto,Urbano,Particular subvencionado,75.0,75.0,68.0,79.0
60,2023,4b,270.0,275.0,Medio alto,Urbano,Particular subvencionado,69.0,76.0,62.0,73.0
60,2024,4b,259.0,285.0,Medio alto,Urbano,Particular subvencionado,67.0,70.0,64.0,71.0
60,2025,4b,253.0,278.0,Medio alto,Urbano,Particular subvencionado,67.0,69.0,69.0,68.0
67,2016,4b,266.0,265.0,Medio alto,Urbano,Particular subvencionado,73.0,77.0,67.0,75.0
67,2017,4b,273.0,283.0,Medio alto,Urbano,Particular subvencionado,70.18451429730662,77.94334423878774,68.57200993992242,79.12857943263306
67,2022,4b,271.0,301.0,Medio alto,Urbano,Particular subvencionado,75.0,81.0,74.0,77.0
67,2023,4b,265.0,284.0,Medio alto,Urbano,Particular subvencionado,66.0,71.0,64.0,69.0
67,2024,4b,289.0,302.0,Medio alto,Urbano,Particular subvencionado,68.0,72.0,73.0,72.0
67,2025,4b,238.0,265.0,Medio alto,Urbano,Particular subvencionado,63.0,70.0,66.0,66.0
69,2016,4b,295.0,299.0,Alto,Urbano,Particular pagado,71.0,80.0,71.0,77.0
69,2017,4b,305.0,311.0,Alto,Urbano,Particular pagado,73.76262777125282,80.19176068207167,69.3516887723908,80.64953030944176
69,2022,4b,283.0,310.0,Alto,Urbano,Particular pagado,73.0,78.0,68.0,75.0
69,2023,4b,291.0,300.0,Alto,Urbano,Particular pagado,69.0,78.0,69.0,74.0
69,2024,4b,279.0,301.0,Alto,Urbano,Particular pagado,74.0,79.0,70.0,80.0
69,2025,4b,312.0,306.0,Alto,Urbano,Particular pagado,68.0,73.0,73.0,67.0
70,2022,4b,159.0,191.0,Medio,Rural,SLEP,58.0,72.0,49.0,72.0
72,2016,4b,211.0,264.0,Bajo,Rural,Municipal,81.0,76.0,73.0,81.0
72,2017,4b,230.0,207.0,Medio,Rural,Municipal,80.70278387574623,90.17435112277532,70.29358116255507,76.96763580654954
72,2023,4b,183.0,213.0,Medio alto,Rural,SLEP,78.0,65.0,57.0,75.0
72,2025,4b,264.0,277.0,Medio alto,Rural,SLEP,78.0,77.0,82.0,64.0
74,2023,4b,212.0,238.0,Bajo,Rural,SLEP,69.0,,,59.0
74,2025,4b,195.0,198.0,Medio bajo,Rural,SLEP,81.0,73.0,79.0,73.0
76,2017,4b,209.0,243.0,Bajo,Rural,Municipal,81.2135111234075,,95.08135768305992,85.71024123751027
76,2022,4b,175.0,205.0,Medio bajo,Rural,SLEP,87.0,86.0,86.0,91.0
78,2016,4b,196.0,209.0,Medio bajo,Rural,Municipal,76.0,,65.0,75.0
78,2017,4b,224.0,255.0,Medio bajo,Rural,Municipal,73.10460833230061,56.90479495159404,54.06533348957817,62.00164088629022
78,2022,4b,257.0,278.0,Medio bajo,Rural,SLEP,73.0,71.0,64.0,68.0
78,2023,4b,297.0,302.0,Medio bajo,Rural,SLEP,77.0,69.0,72.0,76.0
78,2024,4b,266.0,280.0,Bajo,Rural,SLEP,79.0,78.0,75.0,83.0
78,2025,4b,233.0,247.0,Medio bajo,Rural,SLEP,79.0,76.0,83.0,69.0
79,2017,4b,235.0,228.0,Medio bajo,Rural,Municipal,82.71552823780337,,69.0956267995333,83.6172052085533
81,2025,4b,167.0,186.0,Bajo,Rural,SLEP,59.0,63.0,58.0,47.0
82,2023,4b,244.0,251.0,Alto,Rural,SLEP,89.0,88.0,84.0,98.0
86,2022,4b,219.0,190.0,Medio bajo,Rural,SLEP,,64.0,68.0,69.0
87,2023,4b,240.0,221.0,Medio bajo,Rural,SLEP,72.0,79.0,70.0,77.0
90,2016,4b,207.0,262.0,Medio,Rural,Municipal,82.0,,49.0,50.0
90,2022,4b,166.0,210.0,Medio,Rural,SLEP,74.0,76.0,71.0,
90,2023,4b,182.0,178.0,Medio,Rural,SLEP,50.0,64.0,45.0,67.0
90,2024,4b,240.0,224.0,Medio alto,Rural,SLEP,78.0,75.0,71.0,84.0
90,2025,4b,259.0,240.0,Bajo,Rural,SLEP,74.0,62.0,72.0,56.0
91,2017,4b,203.0,220.0,Medio bajo,Rural,Municipal,69.25848446441188,,87.37334495797109,89.68971960118745
91,2023,4b,165.0,193.0,Bajo,Rural,SLEP,57.0,64.0,49.0,57.0
103,2016,4b,223.0,264.0,Medio,Urbano,Municipal,78.0,,70.0,82.0
103,2017,4b,238.0,247.0,Medio bajo,Urbano,Municipal,70.74111648150486,76.78093056962358,68.0325598763947,79.33522706142949
103,2022,4b,255.0,272.0,Medio,Urbano,Municipal,74.0,70.0,70.0,75.0
103,2023,4b,229.0,249.0,Medio,Urbano,Municipal,70.0,70.0,69.0,72.0
103,2024,4b,241.0,268.0,Medio,Urbano,SLEP,70.0,71.0,70.0,73.0
103,2025,4b,234.0,268.0,Medio,Urbano,SLEP,78.0,71.0,80.0,72.0
109,2022,4b,233.0,243.0,Medio,Urbano,Municipal,72.0,66.0,62.0,74.0
109,2023,4b,222.0,233.0,Medio bajo,Urbano,Municipal,70.0,69.0,62.0,75.0
109,2024,4b,224.0,228.0,Medio bajo,Urbano,SLEP,72.0,67.0,61.0,73.0
109,2025,4b,238.0,270.0,Medio bajo,Urbano,SLEP,77.0,75.0,82.0,74.0
110,2016,4b,254.0,262.0,Medio,Urbano,Municipal,73.0,76.0,66.0,79.0
110,2017,4b,243.0,260.0,Medio,Urbano,Municipal,74.22808935431686,69.61983995798451,61.50765647601955,78.01143250245899
110,2022,4b,226.0,234.0,Medio,Urbano,Municipal,70.0,66.0,61.0,71.0
110,2023,4b,240.0,257.0,Medio,Urbano,Municipal,73.0,72.0,69.0,78.0
110,2024,4b,248.0,259.0,Medio bajo,Urbano,SLEP,70.0,72.0,66.0,75.0
110,2025,4b,231.0,257.0,Medio bajo,Urbano,SLEP,72.0,74.0,77.0,67.0
111,2016,4b,260.0,268.0,Medio,Urbano,Municipal,74.0,79.0,68.0,80.0
111,2017,4b,242.0,260.0,Medio,Urbano,Municipal,71.21452374803657,76.26450271639212,61.36211760618323,76.40381951249174
111,2022,4b,241.0,251.0,Medio bajo,Urbano,Municipal,73.0,70.0,67.0,80.0
